model,time_seconds,ram_after_mb,document_id,rouge1_f1,rouge2_f1,rougeL_f1
Proposed (Full LiteMambaSum),3.1243358999781776,21.78520965576172,16222940,0.19999999647346942,0.04938271303155026,0.14285713933061234
Proposed (Full LiteMambaSum),2.601981599989813,21.851442337036133,38389507,0.07317072756692469,0.0,0.07317072756692469
Proposed (Full LiteMambaSum),2.7907783999980893,21.763486862182617,30346384,0.126315786029917,0.01739130125368675,0.126315786029917
Proposed (Full LiteMambaSum),2.5640721999807283,21.75497341156006,35436910,0.1445783109536943,0.0430107507688751,0.12048192541152565
Proposed (Full LiteMambaSum),2.565519600000698,21.74594211578369,29021180,0.1071428532206634,0.0,0.07142856750637776
Proposed (Full LiteMambaSum),2.7344087999954354,21.86632251739502,32713124,0.11111110748299333,0.0,0.047619043990929984
Proposed (Full LiteMambaSum),3.1202151000034064,21.68800640106201,36684452,0.17699114814002664,0.043478258931947164,0.17699114814002664
Proposed (Full LiteMambaSum),2.568104100006167,21.758015632629395,34718944,0.1666666635827665,0.0,0.1666666635827665
Proposed (Full LiteMambaSum),2.6144473000022117,21.766706466674805,29455992,0.13513513119065024,0.02439024034205882,0.13513513119065024
Proposed (Full LiteMambaSum),2.5624072999926284,21.850895881652832,34152489,0.10638297513807166,0.017094014040470996,0.10638297513807166
Proposed (Full LiteMambaSum),2.7103060000226833,21.759390830993652,37805331,0.20952380589569167,0.03149605983011998,0.1714285678004536
Proposed (Full LiteMambaSum),2.8118432000046596,21.67448329925537,36189022,0.19607842767204928,0.03448275523929879,0.1372548982602846
Proposed (Full LiteMambaSum),2.585160699993139,21.763225555419922,35761011,0.11965811649937914,0.015384612472189897,0.10256409940536206
Proposed (Full LiteMambaSum),2.7714707999839447,21.688347816467285,39632041,0.14285714080516584,0.013157893172610992,0.08928571223373728
Proposed (Full LiteMambaSum),2.7007684000127483,21.76394557952881,29252950,0.22222221805212622,0.021505372223379213,0.22222221805212622
Proposed (Full LiteMambaSum),2.5502450999920256,21.654888153076172,40615948,0.13559321709853497,0.0,0.13559321709853497
Proposed (Full LiteMambaSum),2.5008224999764934,21.835140228271484,36226983,0.14705882009083052,0.0,0.1176470553849482
